epoch,total_evaluated,new_evaluated,duplicates,duplicate_rate,duplicate_rate_3gen_avg,rule_rejected,best_epe,best_fps,pareto_count,rank1_saturation,hv,hv_ref_epe,hv_ref_fps,hv_improvement_rate_3gen,mean_crowding_distance,gene_entropy_dim_0,gene_entropy_dim_1,gene_entropy_dim_2,gene_entropy_dim_3,gene_entropy_dim_4,gene_entropy_dim_5,gene_entropy_dim_6,gene_entropy_dim_7,gene_entropy_dim_8,gene_entropy_dim_9,gene_entropy_dim_10,stagnation_best_epe,stagnation_best_fps,stagnation_hv,largest_gap_fps_low,largest_gap_fps_high,largest_gap_epe_low,largest_gap_epe_high,findings_count,assumptions_count,coverage_pct
0,50,50,0,0.0,0.0,0,4.043897,9.141451,15,0.3,6.947555,5.5,3.0,,0.251933,1.09821,1.093493,1.095782,1.09821,1.087566,1.09821,0.693147,0.692347,0.692347,0.693147,0.693147,0,0,0,6.9913309069802905,9.141450717605023,4.557096314430237,4.683212077617645,0,0,0.21
1,100,50,3,0.06,0.03,0,4.043897,9.141451,23,0.46,7.13844,5.5,3.0,,0.175138,1.05493,1.087566,0.902481,1.093493,1.0889,1.065253,0.673012,0.653418,0.68593,0.626869,0.692347,1,1,0,8.23084135351659,9.141450717605023,4.604369139671325,4.683212077617645,0,0,0.43
2,150,50,2,0.04,0.033333,0,4.043897,9.141451,20,0.4,7.270443,5.5,3.0,,0.204618,0.997835,1.073653,0.806817,1.051244,1.076819,1.037577,0.693147,0.526908,0.664064,0.500402,0.692347,2,2,0,8.283185375969953,9.141450717605023,4.601154887676239,4.683212077617645,0,0,0.64
3,200,50,7,0.14,0.08,0,4.043897,9.141451,24,0.48,7.320976,5.5,3.0,0.124474,0.178181,1.036112,1.023389,0.68604,1.068358,1.067306,1.061135,0.68593,0.404963,0.692347,0.55108,0.68593,3,3,0,8.283185375969953,9.074132051896504,4.601154887676239,4.6783612132072445,0,0,0.86
4,250,50,11,0.22,0.133333,0,4.03019,9.141451,31,0.62,7.397856,5.5,3.0,0.086472,0.132914,0.926933,0.784839,0.54552,0.989094,1.050913,1.05493,0.692347,0.098039,0.68593,0.404963,0.653418,0,4,0,8.453009813542876,9.074132051896504,4.58314563035965,4.6783612132072445,0,0,1.07
5,300,50,13,0.26,0.206667,0,4.03019,9.141451,28,0.56,7.46392,5.5,3.0,0.064492,0.14825,0.801819,0.565419,0.499953,1.004867,1.050913,1.046605,0.692347,0.0,0.641035,0.167944,0.573057,1,5,0,7.860999449435251,8.453009813542876,4.484530556201935,4.58314563035965,0,0,1.29
6,350,50,16,0.32,0.266667,0,4.03019,9.141451,31,0.62,7.486128,5.5,3.0,0.055051,0.132914,0.443307,0.54552,0.534183,1.074092,1.060903,1.085716,0.664064,0.0,0.626869,0.098039,0.55108,2,6,0,4.458018466739666,4.970037939902873,4.030190443992614,4.0395764946937565,0,0,1.5
7,400,50,34,0.68,0.42,0,4.03019,9.141451,34,0.68,7.496845,5.5,3.0,0.032996,0.12337,0.375123,0.54552,0.534183,1.0889,1.083551,1.085716,0.641035,0.0,0.626869,0.167944,0.500402,3,7,0,8.499365065556985,8.853731508068705,4.64823192358017,4.676994371414184,0,0,1.71
8,450,50,37,0.74,0.58,0,4.024701,9.141451,39,0.78,7.51053,5.5,3.0,0.015537,0.106936,0.278769,0.585966,0.659215,1.081972,1.05392,1.074092,0.664064,0.0,0.641035,0.278769,0.325083,0,8,0,8.499365065556985,8.853731508068705,4.64823192358017,4.676994371414184,0,0,1.93
9,500,50,27,0.54,0.653333,0,4.024701,9.141451,43,0.86,7.51209,5.5,3.0,0.008654,0.096503,0.366925,0.54552,0.566741,1.081972,1.065253,1.068358,0.664064,0.0,0.653418,0.325083,0.325083,1,9,0,8.499365065556985,8.853731508068705,4.64823192358017,4.676994371414184,0,0,2.14
10,550,50,34,0.68,0.653333,0,4.024701,9.141451,45,0.9,7.514689,5.5,3.0,0.005948,0.091955,0.325083,0.500571,0.550573,1.081972,1.05392,1.05392,0.610864,0.0,0.653418,0.226968,0.366925,2,10,0,8.499365065556985,8.853731508068705,4.64823192358017,4.676994371414184,0,0,2.36
11,600,50,40,0.8,0.673333,0,4.023018,9.141451,44,0.88,7.521421,5.5,3.0,0.00363,0.093536,0.366925,0.622575,0.595047,1.081972,1.061135,1.03953,0.626869,0.098039,0.653418,0.226968,0.366925,0,11,0,8.499365065556985,8.853731508068705,4.64823192358017,4.676994371414184,0,0,2.57
