arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"0,0,0,0,0,0,0,0,0,0,0",4.683212077617645,9.141450717605023,1386.0,43622513,1651223296,,0,2026-05-06T19:22:16.557896
"1,1,1,1,1,1,0,0,0,0,0",4.28422486782074,6.085995635641241,1386.0,65590443,2482252544,,0,2026-05-06T19:22:18.063054
"1,1,1,1,1,1,1,1,1,1,1",4.281114375591278,5.136673593171368,1386.0,77737189,3198823168,,0,2026-05-06T19:22:18.110773
"2,2,2,2,2,2,1,1,1,1,1",4.0438971519470215,4.038781266250415,1386.0,98905560,3975604992,,0,2026-05-06T19:22:20.287640
"2,1,0,2,1,0,1,0,1,0,1",4.3341758966445925,6.089425280650954,1386.0,65553426,2419747584,,0,2026-05-06T19:22:51.599194
"0,1,2,0,1,2,0,1,0,1,0",4.257240426540375,5.108524928880074,1386.0,78166271,3276122880,,0,2026-05-06T19:22:53.797841
"2,0,2,0,2,0,1,1,0,0,1",4.291583681106568,5.144721134120847,1386.0,77615380,2817026816,,0,2026-05-06T19:22:53.870861
"0,2,0,2,0,2,0,0,1,1,0",4.387677907943726,6.149408078732593,1386.0,64912693,2809801472,,0,2026-05-06T19:22:54.795794
"1,0,1,0,1,0,1,0,0,1,0",4.434640598297119,6.390112706411624,1386.0,62462487,2373069568,,0,2026-05-06T19:23:26.938161
"0,1,0,1,0,1,0,1,1,0,1",4.50016804933548,6.77606568243748,1386.0,58897087,2476976896,,0,2026-05-06T19:23:28.334276
"2,2,0,0,1,1,1,1,0,0,0",4.364358937740326,6.128664132933912,1386.0,65132860,2510351104,,0,2026-05-06T19:23:29.058903
"0,0,2,2,1,1,0,0,1,1,1",4.216016912460328,5.159331041653072,1386.0,77395213,3116477184,,0,2026-05-06T19:23:30.294627
"1,2,1,2,0,0,1,0,1,0,0",4.557096314430237,6.9913309069802905,1386.0,57079495,2340727552,,0,2026-05-06T19:24:01.047481
"2,1,2,1,0,0,0,1,0,1,1",4.600335419178009,5.872690120487928,1386.0,67977668,3027135232,,0,2026-05-06T19:24:02.969621
"0,0,0,1,1,1,0,0,0,1,1",4.28697372674942,5.994963840701161,1386.0,66588453,2559552256,,0,2026-05-06T19:24:04.383116
"1,1,1,2,2,2,1,1,1,0,0",4.05043193101883,4.52871461504403,1386.0,88191065,3380488960,,0,2026-05-06T19:24:07.140085
"2,2,2,0,0,0,0,1,0,1,0",4.664461362361908,6.3102436994030855,1386.0,63254776,2814962432,,0,2026-05-06T19:24:36.019109
"0,1,1,0,2,2,1,0,1,0,1",4.178601622581482,5.202065724693079,1386.0,76758313,2704976640,,0,2026-05-06T19:24:38.923891
"1,0,2,1,0,2,0,0,0,0,1",4.426916348934173,6.351328600291504,1386.0,62844731,2621254400,,0,2026-05-06T19:24:39.235768
"2,1,0,0,1,2,1,1,1,1,0",4.304350888729095,5.3814757281856425,1386.0,74194836,3025300224,,0,2026-05-06T19:24:41.618601
"0,2,1,1,2,0,0,1,0,0,1",4.250638055801391,5.166509296946194,1386.0,77287495,2825857792,,0,2026-05-06T19:25:12.149974
"2,0,1,1,0,2,0,1,1,0,0",4.427048254013061,6.153585431164963,1386.0,64868536,2790877952,,0,2026-05-06T19:25:14.265346
"1,0,0,2,1,1,1,0,1,1,0",4.255131769180298,5.664607350589926,1386.0,70479679,2760715008,,0,2026-05-06T19:25:14.951274
"0,1,2,2,1,0,1,0,0,1,1",4.297824406623841,5.335792991614655,1386.0,74831209,3003624192,,0,2026-05-06T19:25:16.668334
"1,2,0,0,2,1,0,0,1,0,1",4.266200757026672,5.677022952132833,1386.0,70325247,2375133952,,0,2026-05-06T19:25:48.173871
"2,1,1,2,0,1,1,1,0,1,0",4.4459986090660095,5.635079519565517,1386.0,70849696,3182652160,,0,2026-05-06T19:25:48.983562
"0,0,1,1,2,2,0,1,0,1,1",4.111830568313598,4.539844896426105,1386.0,87974519,3423382272,,0,2026-05-06T19:25:51.153078
"1,1,0,0,1,2,1,0,1,1,1",4.329580676555634,5.744527120795758,1386.0,69497275,2698324736,,0,2026-05-06T19:25:51.450088
"2,2,1,1,0,0,0,1,1,0,0",4.599462914466858,6.7456662888531405,1386.0,59163112,2516314880,,0,2026-05-06T19:26:22.274586
"0,2,2,0,1,1,1,0,0,1,0",4.357632756233215,5.694565677397701,1386.0,70108189,2791451392,,0,2026-05-06T19:26:24.052512
"1,1,2,2,0,0,0,1,1,1,1",4.541282296180725,5.612484939072057,1386.0,71135461,3184601856,,0,2026-05-06T19:26:25.175574
"2,0,0,1,1,2,1,0,0,0,1",4.229320156574249,5.942427033384139,1386.0,67178346,2502322944,,0,2026-05-06T19:26:26.489341
"1,2,2,1,1,0,1,0,1,0,0",4.3899142980575565,6.011582787077087,1386.0,66403999,2518264576,,0,2026-05-06T19:26:58.583102
"0,1,0,2,2,1,0,1,1,0,0",4.109932851791382,4.969820454675206,1386.0,80351587,2981604096,,0,2026-05-06T19:26:59.859337
"2,1,1,0,2,0,0,1,0,0,0",4.296725189685821,5.394340155816054,1386.0,74017576,2667932416,,0,2026-05-06T19:27:00.247806
"0,0,2,1,0,2,1,1,1,0,1",4.396667349338531,5.863035876165705,1386.0,68089823,2944903936,,0,2026-05-06T19:27:02.127225
"1,0,1,2,0,1,0,0,1,1,0",4.454064118862152,6.248786856614165,1386.0,63878207,2746493696,,0,2026-05-06T19:27:33.199654
"0,1,1,2,0,2,0,0,0,1,0",4.349116039276123,5.9166784642769965,1386.0,67471281,2957290240,,0,2026-05-06T19:27:35.438661
"2,2,0,1,2,0,1,1,0,1,1",4.241766178607941,4.931832093507733,1386.0,80971544,3055348480,,0,2026-05-06T19:27:35.590022
"1,2,0,1,2,2,1,1,0,0,0",4.163803005218506,4.941975096670902,1386.0,80805081,3010964224,,0,2026-05-06T19:27:37.907693
"2,0,2,2,1,1,0,1,0,1,1",4.231382203102112,4.789554976822984,1386.0,83380848,3493227264,,0,2026-05-06T19:28:09.438355
"1,1,2,0,1,0,0,0,1,1,1",4.425446653366089,5.814728250201593,1386.0,68656615,2679974656,,0,2026-05-06T19:28:10.833278
"0,2,0,0,2,1,1,0,1,0,1",4.222147953510285,5.703010130014516,1386.0,70004181,2355636992,,0,2026-05-06T19:28:11.497222
"2,1,0,1,0,2,1,1,1,0,0",4.44750669002533,6.316265720119508,1386.0,63194340,2702338816,,0,2026-05-06T19:28:13.297730
"0,0,1,2,1,0,0,1,0,0,1",4.29295654296875,5.715848835632293,1386.0,69846639,2737089280,,0,2026-05-06T19:28:44.630044
"1,2,1,0,0,1,1,0,0,1,1",4.586986410617828,6.748305757703397,1386.0,59139919,2502208256,,0,2026-05-06T19:28:45.182099
"2,0,1,2,2,0,0,0,1,0,0",4.154924154281616,5.286106552578392,1386.0,75535842,2649582336,,0,2026-05-06T19:28:47.303687
"0,1,2,1,1,2,1,1,0,1,0",4.206257677078247,4.866843111630257,1386.0,82054583,3467881216,,0,2026-05-06T19:28:48.743329
"2,2,1,0,1,1,1,0,1,1,0",4.354440116882325,5.776009805354246,1386.0,69117742,2708073216,,0,2026-05-06T19:29:19.439526
"1,0,0,0,2,2,0,1,1,0,1",4.22134268283844,5.158935518142525,1386.0,77401157,2790992640,,0,2026-05-06T19:29:19.908467
"1,1,1,0,1,0,1,0,1,0,0",4.4282812714576725,6.716636088341295,1386.0,59419403,2149198592,,1,2026-05-06T19:29:55.932350
"0,1,0,0,1,1,1,1,0,0,0",4.370803701877594,6.302328926393068,1386.0,63334383,2426514176,,1,2026-05-06T19:29:56.003218
"0,0,0,0,2,2,1,0,0,1,1",4.1921346783638,5.219896014712486,1386.0,76495661,2751310592,,1,2026-05-06T19:29:57.166117
"2,2,2,2,2,2,1,1,0,1,0",4.046960461139679,4.118041264379506,1386.0,96999340,3915049728,,1,2026-05-06T19:29:58.355693
"2,1,2,1,1,0,0,1,0,1,0",4.369110894203186,5.234224616228614,1386.0,76285888,3168430848,,1,2026-05-06T19:30:33.731536
"0,1,1,0,2,2,0,1,1,0,0",4.178084659576416,4.985807835673159,1386.0,80093503,2977475328,,1,2026-05-06T19:30:34.780342
"0,1,1,0,2,2,1,1,1,0,0",4.175921201705933,4.965715397396085,1386.0,80418123,2987567872,,1,2026-05-06T19:30:35.207125
"1,1,0,2,2,1,1,1,1,0,0",4.121615612506867,4.910627620809634,1386.0,81321765,3021286144,,1,2026-05-06T19:30:35.263176
"1,0,0,0,0,1,0,0,1,0,0",4.604369139671325,8.23084135351659,1386.0,48463487,1882663680,,1,2026-05-06T19:31:08.732005
"0,1,0,2,2,0,0,1,0,0,1",4.174034678936005,5.156981282104707,1386.0,77430539,2820123392,,1,2026-05-06T19:31:09.817163
"2,0,2,1,0,2,1,0,0,0,1",4.427485454082489,6.216844789631297,1386.0,64207102,2675731200,,1,2026-05-06T19:31:10.084133
