arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"0,1,2,2,2,2,1,1,1,1,0",4.023017513751984,4.168102360841312,1386.0,95832715,3851397888,nan,11,2026-05-06T20:54:53.304176
"0,1,2,2,2,2,0,0,0,1,0",4.024062764644623,4.440680572931723,1386.0,89942065,3498158848,nan,15,2026-05-06T21:23:50.642316
"0,1,2,2,2,2,0,0,1,0,0",4.026024520397186,4.665999856403855,1386.0,85592317,3195382528,nan,14,2026-05-06T21:16:40.442220
"0,0,2,2,2,2,0,0,0,0,0",4.031607532501221,4.773959521191433,1386.0,83653673,3096292096,nan,13,2026-05-06T21:10:40.809718
"0,0,1,2,2,2,0,0,0,0,1",4.039439558982849,4.892568312271011,1386.0,81622433,2959125248,nan,7,2026-05-06T20:20:00.398342
"0,0,1,2,2,2,0,0,0,0,0",4.0395764946937565,4.970037939902873,1386.0,80348065,2918755072,nan,4,2026-05-06T19:54:54.243306
"2,0,0,2,2,2,0,0,0,0,0",4.046669328212738,5.07228101897662,1386.0,78725766,2815191808,nan,15,2026-05-06T21:24:27.303623
"0,0,0,2,2,2,0,0,0,0,1",4.058400118350983,5.098721249633354,1386.0,78316825,2781588224,nan,15,2026-05-06T21:24:25.202359
"0,0,0,2,2,2,0,0,0,0,0",4.058631598949432,5.1829131016592775,1386.0,77042457,2741218048,nan,12,2026-05-06T21:01:09.732873
"2,0,0,2,2,1,0,0,1,0,0",4.096894884109497,5.268138781319348,1386.0,75793926,2653711104,nan,9,2026-05-06T20:38:42.737457
"2,0,0,2,2,1,1,0,0,0,0",4.099908947944641,5.2895421308857005,1386.0,75486694,2643618560,nan,4,2026-05-06T19:59:40.644505
"0,0,0,2,2,1,0,0,0,0,1",4.107436752319336,5.341355978795404,1386.0,74753133,2599922432,nan,10,2026-05-06T20:42:51.566908
"0,0,0,2,2,1,0,0,0,0,0",4.107713901996613,5.433824085080209,1386.0,73478765,2559552256,nan,11,2026-05-06T20:54:52.319158
"0,0,1,2,1,2,1,0,0,0,1",4.158110666275024,5.517341604674392,1386.0,72364465,2787552000,nan,12,2026-05-06T21:00:34.222495
"2,0,0,2,2,0,0,0,1,0,0",4.163992655277252,5.527575887674793,1386.0,72230234,2472045312,nan,14,2026-05-06T21:16:04.606011
"2,0,0,2,2,0,0,0,0,0,0",4.164317548274994,5.576265184867132,1386.0,71598382,2451860224,nan,8,2026-05-06T20:26:34.219333
"0,0,0,1,2,1,0,0,1,0,0",4.171676659584046,5.659218046318238,1386.0,70546925,2398071552,nan,7,2026-05-06T20:21:47.223116
"0,0,0,1,2,1,0,0,0,0,0",4.17189781665802,5.710264790545845,1386.0,69915073,2377886464,nan,6,2026-05-06T20:14:33.977211
"2,0,0,2,1,2,0,0,1,0,0",4.172556376457214,5.721703657862261,1386.0,69775030,2653711104,nan,13,2026-05-06T21:09:29.424120
"2,0,0,2,1,2,0,0,0,0,0",4.172585558891297,5.773889076315744,1386.0,69143178,2633526016,nan,9,2026-05-06T20:36:19.066867
"0,1,0,2,1,2,0,0,0,0,0",4.185145449638367,5.805441175866566,1386.0,68766661,2638457600,nan,9,2026-05-06T20:36:19.285884
"0,0,0,2,1,2,0,0,0,0,0",4.18958455324173,5.917677385005585,1386.0,67459869,2559552256,nan,6,2026-05-06T20:16:57.546227
"0,0,0,1,1,2,0,0,0,0,1",4.226923727989197,6.12512750409951,1386.0,65170545,2418256640,nan,10,2026-05-06T20:44:05.041187
"0,0,0,1,1,2,0,0,0,0,0",4.226997327804566,6.247033147304495,1386.0,63896177,2377886464,nan,5,2026-05-06T20:08:07.809322
"0,0,0,1,1,1,0,0,0,0,1",4.289758253097534,6.478669603901105,1386.0,61606853,2236590848,nan,2,2026-05-06T19:37:42.821907
"0,0,0,1,1,1,0,0,0,0,0",4.28991869688034,6.615211019525904,1386.0,60332485,2196220672,nan,11,2026-05-06T20:51:15.290651
"0,1,0,2,0,2,1,0,1,0,0",4.36639506816864,6.636276612153581,1386.0,60140545,2487069440,nan,4,2026-05-06T19:59:04.429983
"0,1,0,2,0,2,0,0,0,0,0",4.369267594814301,6.743282607383278,1386.0,59184073,2456791808,nan,8,2026-05-06T20:30:05.498380
"0,0,0,0,1,1,1,0,1,0,0",4.370751535892486,6.913300625240637,1386.0,57725265,2044832512,nan,8,2026-05-06T20:32:23.626470
"0,0,0,0,1,1,0,0,0,0,0",4.3717504143714905,7.029504994032741,1386.0,56768793,2014554880,nan,10,2026-05-06T20:42:51.364239
"0,0,0,1,0,2,1,0,0,0,1",4.408502399921417,7.136893376329547,1386.0,55912577,2246683392,nan,6,2026-05-06T20:12:09.644539
"0,0,0,1,0,2,1,0,0,0,0",4.409013187885284,7.302944600209152,1386.0,54638209,2206313216,nan,7,2026-05-06T20:21:46.340505
"0,0,0,1,0,2,0,0,0,0,0",4.4100013136863705,7.346485047597969,1386.0,54313589,2196220672,nan,5,2026-05-06T20:05:03.402869
"0,0,0,0,1,0,0,0,0,0,0",4.451394283771515,7.4991583600833,1386.0,53205101,1832889088,nan,6,2026-05-06T20:18:06.297877
"0,0,0,1,0,1,1,0,1,0,0",4.481566369533539,7.71596201254434,1386.0,51706369,2044832512,nan,10,2026-05-06T20:43:26.620326
"0,0,0,1,0,1,1,0,0,0,0",4.483234560489654,7.811167372128993,1386.0,51074517,2024647424,nan,11,2026-05-06T20:53:39.122735
"0,0,0,1,0,1,0,0,0,0,0",4.484530556201935,7.860999449435251,1386.0,50749897,2014554880,nan,5,2026-05-06T20:06:15.651775
"0,0,1,0,0,1,0,0,0,0,0",4.556702327728272,7.901073659122122,1386.0,50491813,2010426112,nan,6,2026-05-06T20:17:30.938772
"0,2,0,0,0,1,0,0,1,0,0",4.57846714258194,8.101391343076,1386.0,49240017,1941842688,nan,9,2026-05-06T20:36:51.658154
"0,2,0,0,0,1,0,0,0,0,0",4.578732049465179,8.206410425194024,1386.0,48608165,1921657600,nan,6,2026-05-06T20:16:22.179338
"0,0,0,0,0,1,0,0,1,0,0",4.582905578613281,8.341627169930938,1386.0,47818057,1853074176,nan,9,2026-05-06T20:39:14.433031
"0,0,0,0,0,1,0,0,0,0,0",4.58314563035965,8.453009813542876,1386.0,47186205,1832889088,nan,4,2026-05-06T19:57:49.382936
"0,0,1,0,0,0,0,0,0,0,0",4.64823192358017,8.499365065556985,1386.0,46928121,1828760320,nan,6,2026-05-06T20:17:31.023069
"0,2,0,0,0,0,0,0,1,0,0",4.676872587203979,8.731614467001625,1386.0,45676325,1760176896,nan,15,2026-05-06T21:23:46.967000
"0,2,0,0,0,0,0,0,0,0,0",4.676994371414184,8.853731508068705,1386.0,45044473,1739991808,nan,6,2026-05-06T20:17:31.223325
"0,0,0,0,0,0,1,0,1,0,0",4.677228689193726,8.945903517580703,1386.0,44578985,1681500928,nan,5,2026-05-06T20:06:51.362616
"0,0,0,0,0,0,1,0,0,0,0",4.6783612132072445,9.074132051896504,1386.0,43947133,1661315840,nan,3,2026-05-06T19:48:55.780309
"0,0,0,0,0,0,0,0,0,0,0",4.683212077617645,9.141450717605023,1386.0,43622513,1651223296,nan,0,2026-05-06T19:22:16.557896
