epoch,lr,mean_epe,loss_edgeflownet_bilinear,epe_edgeflownet_bilinear,grad_clip_rate_edgeflownet_bilinear,sintel_epe_edgeflownet_bilinear,mean_sintel_epe
5,9.996186474063684e-05,5.988478755950927,5.939051996032111,5.988478755950927,0.0,8.194931030273438,8.194931030273438
10,9.98474628758497e-05,5.121449065208435,5.198971422027341,5.121449065208435,0.0,7.264287948608398,7.264287948608398
15,9.965697080008347e-05,4.678859710693359,4.752315986070702,4.678859710693359,0.0,6.71928071975708,6.71928071975708
20,9.939068223831183e-05,4.385011506080628,4.5098782867836436,4.385011506080628,0.0,6.6564040184021,6.6564040184021
25,9.904900778819605e-05,4.246560549736023,4.3207058520625825,4.246560549736023,0.0,6.951078414916992,6.951078414916992
30,9.863247428697313e-05,4.094619286060333,4.145722286306697,4.094619286060333,0.0,6.223608016967773,6.223608016967773
35,9.814172399911105e-05,3.8698177218437193,4.0170749691750505,3.8698177218437193,0.0,6.376645088195801,6.376645088195801
40,9.757751362598337e-05,3.8162654876708983,3.903812773364911,3.8162654876708983,0.0,6.7404632568359375,6.7404632568359375
45,9.69407131390907e-05,3.817729878425598,3.797517280355632,3.817729878425598,0.0,6.054435729980469,6.054435729980469
50,9.623230443862756e-05,3.7161234617233276,3.705895246361657,3.7161234617233276,0.0,6.440850257873535,6.440850257873535
55,9.545337983946362e-05,3.581262302398682,3.6195989006714857,3.581262302398682,0.0,6.346772193908691,6.346772193908691
60,9.460514038687318e-05,3.497366523742676,3.572617521388925,3.497366523742676,0.0,6.234796047210693,6.234796047210693
65,9.368889400461054e-05,3.451844108104706,3.4814851498432295,3.451844108104706,0.0,6.032847881317139,6.032847881317139
70,9.270605347818627e-05,3.4183536052703856,3.4378403425216675,3.4183536052703856,0.0,6.060699462890625,6.060699462890625
75,9.165813427645443e-05,3.403599941730499,3.3821455879177122,3.403599941730499,0.0,6.018220901489258,6.018220901489258
80,9.054675221486936e-05,3.3263355255126954,3.3481910082933712,3.3263355255126954,0.0,5.936922073364258,5.936922073364258
85,8.937362096401548e-05,3.403579843044281,3.3294639364420937,3.403579843044281,0.0,6.0205078125,6.0205078125
90,8.814054940725134e-05,3.3269092321395872,3.235068288638437,3.3269092321395872,0.0,6.21335506439209,6.21335506439209
95,8.684943885154264e-05,3.297618532180786,3.2320736226418036,3.297618532180786,0.0,5.9582648277282715,5.9582648277282715
100,8.550228009578476e-05,3.243396985530853,3.1797176783891032,3.243396985530853,0.0,5.818411350250244,5.818411350250244
105,8.410115036113507e-05,3.1983879446983337,3.152398726494192,3.1983879446983337,0.0,5.853900909423828,5.853900909423828
110,8.264821008808843e-05,3.217344069480896,3.1120611635043467,3.217344069480896,0.0,6.105579376220703,6.105579376220703
115,8.114569960523474e-05,3.209426689147949,3.1242271378743562,3.209426689147949,0.0017985611510791368,5.931912899017334,5.931912899017334
120,7.959593567483439e-05,3.20575989484787,3.06880098452671,3.20575989484787,0.0,6.212761402130127,6.212761402130127
125,7.800130792053892e-05,3.133190816640854,3.0448457813091414,3.133190816640854,0.0,6.0012898445129395,6.0012898445129395
130,7.636427514276455e-05,3.200132417678833,3.0109657229279443,3.200132417678833,0.0,6.123791217803955,6.123791217803955
135,7.468736152740008e-05,3.2972826242446898,2.9789495549613623,3.2972826242446898,0.0,6.618930339813232,6.618930339813232
