epoch,lr,mean_epe,loss_edgeflownet_bilinear_eca,epe_edgeflownet_bilinear_eca,grad_clip_rate_edgeflownet_bilinear_eca,sintel_epe_edgeflownet_bilinear_eca,mean_sintel_epe
5,9.996186474063684e-05,5.632258486747742,5.757887581269518,5.632258486747742,0.0,7.286319732666016,7.286319732666016
10,9.98474628758497e-05,4.851584124565124,5.059554367614307,4.851584124565124,0.0,6.678676605224609,6.678676605224609
15,9.965697080008347e-05,4.502663922309876,4.626587583864335,4.502663922309876,0.0,6.78298282623291,6.78298282623291
20,9.939068223831183e-05,4.122249865531922,4.392259615359547,4.122249865531922,0.0,6.14253044128418,6.14253044128418
25,9.904900778819605e-05,4.010125851631164,4.196705479844868,4.010125851631164,0.0,6.1061296463012695,6.1061296463012695
30,9.863247428697313e-05,3.838454532623291,4.046050481659045,3.838454532623291,0.0,6.382948875427246,6.382948875427246
35,9.814172399911105e-05,3.678799104690552,3.9241463910761496,3.678799104690552,0.0,5.932671546936035,5.932671546936035
40,9.757751362598337e-05,3.5859620571136475,3.811203994339319,3.5859620571136475,0.0,5.919179439544678,5.919179439544678
45,9.69407131390907e-05,3.6612910270690917,3.72214446479468,3.6612910270690917,0.0,6.157615661621094,6.157615661621094
50,9.623230443862756e-05,3.4968796968460083,3.638810187363796,3.4968796968460083,0.0,6.112710475921631,6.112710475921631
55,9.545337983946362e-05,3.4196908354759215,3.5481674495360833,3.4196908354759215,0.0,5.897246360778809,5.897246360778809
60,9.460514038687318e-05,3.3637147188186645,3.5038390991499098,3.3637147188186645,0.0,6.003522872924805,6.003522872924805
65,9.368889400461054e-05,3.304713475704193,3.4370103469855495,3.304713475704193,0.0,5.88977575302124,5.88977575302124
70,9.270605347818627e-05,3.2718286156654357,3.3837097051332323,3.2718286156654357,0.0,5.624940395355225,5.624940395355225
75,9.165813427645443e-05,3.214470398426056,3.3387123397785983,3.214470398426056,0.0,5.747915744781494,5.747915744781494
80,9.054675221486936e-05,3.2137988805770874,3.2839817756371534,3.2137988805770874,0.0,5.816182613372803,5.816182613372803
85,8.937362096401548e-05,3.165646326541901,3.2504826831303055,3.165646326541901,0.0,5.7885966300964355,5.7885966300964355
90,8.814054940725134e-05,3.115664839744568,3.2185302063715544,3.115664839744568,0.0,5.751430988311768,5.751430988311768
95,8.684943885154264e-05,3.1356183528900146,3.1865846308872854,3.1356183528900146,0.0,5.377943992614746,5.377943992614746
100,8.550228009578476e-05,3.1105426788330077,3.1385614584675796,3.1105426788330077,0.0,5.913454055786133,5.913454055786133
105,8.410115036113507e-05,3.0807549357414246,3.09805874044089,3.0807549357414246,0.0,5.729225158691406,5.729225158691406
110,8.264821008808843e-05,3.0691777944564818,3.0728869095123073,3.0691777944564818,0.0,5.695186614990234,5.695186614990234
115,8.114569960523474e-05,3.0031901001930237,3.0449123245349035,3.0031901001930237,0.0,5.808992862701416,5.808992862701416
120,7.959593567483439e-05,3.0206980764865876,3.02991796697644,3.0206980764865876,0.0,5.494224548339844,5.494224548339844
125,7.800130792053892e-05,3.045761489868164,3.0034421309292747,3.045761489868164,0.0,5.792654514312744,5.792654514312744
130,7.636427514276455e-05,3.0228758096694945,2.9753125352825194,3.0228758096694945,0.0,6.00388240814209,6.00388240814209
