epoch,total_evaluated,new_evaluated,duplicates,rule_rejected,best_epe,best_fps,pareto_count,findings_count,assumptions_count,coverage_pct
0,50,50,0,,4.025632,,14,0,0,0.21
1,100,50,4,,4.025632,,22,0,0,0.43
2,150,50,3,,4.025632,,24,0,0,0.64
3,200,50,6,,4.025632,,32,0,0,0.86
4,250,50,9,,4.025632,,32,0,0,1.07
5,300,50,9,,4.025632,,35,0,0,1.29
6,350,50,6,,4.025632,,37,0,0,1.5
7,400,50,20,,4.025632,,41,0,0,1.71
8,450,50,12,,4.025632,,43,0,0,1.93
9,500,50,20,,4.025632,,45,0,0,2.14
10,550,50,37,,4.025632,,41,0,0,2.36
11,600,50,20,,4.025632,,46,0,0,2.57
12,650,50,32,,4.025632,,46,0,0,2.79
13,700,50,42,,4.025632,,47,0,0,3.0
14,750,50,38,,4.025632,,49,0,0,3.22
15,800,50,37,,4.025632,,51,0,0,3.43
