arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"0,1,2,2,2,0,0,1,1,1,0",4.140727162361145,4.519011702534383,1386.0,88380711,3477973760,,0,2026-04-29T20:18:50.855130
"1,1,1,1,1,2,0,1,0,1,1",4.218114125728607,4.970279530136115,1386.0,80344153,3350211328,,0,2026-04-29T20:18:50.911323
"0,2,0,0,1,0,1,0,1,1,0",4.44808030128479,6.589870186641433,1386.0,60565005,2274896640,,0,2026-04-29T20:18:50.968676
"1,0,1,2,2,1,0,1,1,1,1",4.106750643253326,4.474966350210844,1386.0,89251929,3473156864,,0,2026-04-29T20:19:39.446983
"1,2,1,2,2,0,0,0,0,0,1",4.192137324810028,5.215342468396817,1386.0,76562567,2714151680,,0,2026-04-29T20:19:39.722742
"1,0,2,2,2,2,1,0,1,1,1",4.042764866352082,4.364619577520755,1386.0,91511799,3519490816,,0,2026-04-29T20:19:40.550247
"1,0,1,0,0,2,1,1,1,1,1",4.504661786556244,5.971774021920083,1386.0,66847553,2938252032,,0,2026-04-29T20:20:25.784186
"0,0,2,2,1,2,1,1,0,1,1",4.150435733795166,4.6663518201321095,1386.0,85585851,3611011840,,0,2026-04-29T20:20:26.352715
"2,2,2,2,1,1,1,0,1,1,0",4.233613765239715,5.019768349738103,1386.0,79550734,3248941824,,0,2026-04-29T20:20:26.702350
"1,1,0,0,2,1,0,1,0,0,0",4.258677279949188,5.451671011444025,1386.0,73237781,2627676928,,0,2026-04-29T20:21:12.241195
"1,2,2,2,1,1,0,1,1,0,1",4.2637526273727415,5.02831399613476,1386.0,79415309,3234835200,,0,2026-04-29T20:21:13.915433
"1,2,1,1,2,2,0,1,1,1,0",4.148198866844178,4.467589586535641,1386.0,89399521,3521555200,,0,2026-04-29T20:21:14.659474
"1,2,2,0,2,0,0,0,0,1,1",4.300821971893311,5.137649907151748,1386.0,77722391,2851318528,,0,2026-04-29T20:21:59.327121
"2,2,2,1,0,1,0,0,1,1,1",4.499802494049073,5.92694272587801,1386.0,67354202,2915887872,,0,2026-04-29T20:21:59.845902
"0,0,1,2,2,2,1,0,0,1,0",4.040537905693054,4.662629443481488,1386.0,85654285,3251809024,,0,2026-04-29T20:22:02.102711
"0,2,0,1,0,0,1,0,0,1,1",4.605417203903198,7.230269683094208,1386.0,55188753,2295081728,,0,2026-04-29T20:22:43.967127
"0,0,2,1,1,2,1,1,1,0,1",4.19937881231308,5.140950136780761,1386.0,77672411,3126569728,,0,2026-04-29T20:22:47.323403
"1,2,2,0,0,2,0,1,1,1,0",4.516314029693604,5.705281231925402,1386.0,69976261,3154094848,,0,2026-04-29T20:22:47.811098
"2,2,0,2,1,0,0,0,0,0,1",4.329864954948425,6.168416142572329,1386.0,64712250,2399333120,,0,2026-04-29T20:23:29.871644
"1,1,1,2,1,0,1,1,0,1,0",4.312590444087983,5.265578744564656,1386.0,75830841,3138267904,,0,2026-04-29T20:23:33.074438
"2,0,1,2,2,0,0,0,0,0,0",4.155370211601257,5.330617703450487,1386.0,74903990,2629397248,,0,2026-04-29T20:23:33.307253
"1,1,1,1,1,1,0,1,1,1,0",4.2821445107460026,5.244377296602956,1386.0,76137945,3148360448,,0,2026-04-29T20:24:16.653073
"2,2,1,0,0,0,0,0,1,1,1",4.670318591594696,7.010710753567978,1386.0,56921338,2375019264,,0,2026-04-29T20:24:16.945393
"2,2,0,0,1,0,1,0,0,1,0",4.4419971942901615,6.477648033366624,1386.0,61616590,2328685312,,0,2026-04-29T20:24:17.321080
"2,1,2,1,2,2,0,0,1,0,1",4.136940503120423,4.699219412663362,1386.0,84986302,3128060672,,0,2026-04-29T20:25:02.842350
"0,0,2,0,1,2,0,0,1,1,0",4.261864280700683,5.502716409076945,1386.0,72557153,2894441216,,0,2026-04-29T20:25:03.300987
"1,1,0,1,1,0,0,1,1,1,0",4.392686057090759,5.763440368153586,1386.0,69268773,2789157632,,0,2026-04-29T20:25:03.469915
"0,0,0,0,1,0,0,1,1,1,0",4.447097682952881,6.261059672766655,1386.0,63752731,2498996992,,0,2026-04-29T20:25:49.299015
"1,1,2,0,2,1,1,0,1,1,1",4.227976703643799,4.862535808777375,1386.0,82127387,3053398784,,0,2026-04-29T20:25:49.727493
"1,1,0,2,2,1,0,1,1,1,0",4.123366498947144,4.6450613945312735,1386.0,85978745,3334155008,,0,2026-04-29T20:25:50.564560
