arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"0,1,2,2,2,2,0,1,1,1,0",4.025631844997406,4.182249335605256,1386.0,95508095,3841305344,nan,0,2026-04-29T20:31:09.778281
"0,1,2,2,2,2,0,0,0,0,1",4.025915956497192,4.631281721457605,1386.0,86234961,3215567616,nan,9,2026-04-29T22:15:55.831417
"0,1,2,2,2,2,0,0,0,0,0",4.026098680496216,4.700646220163955,1386.0,84960465,3175197440,nan,6,2026-04-29T21:38:05.739962
"0,0,2,2,2,2,0,0,1,0,0",4.031483542919159,4.738228118036322,1386.0,84285525,3116477184,nan,8,2026-04-29T22:07:02.518817
"0,0,2,2,2,2,0,0,0,0,0",4.0316074848175045,4.773959521191433,1386.0,83653673,3096292096,nan,4,2026-04-29T21:19:23.907888
"2,0,1,2,2,2,0,0,0,0,1",4.039002311229706,4.793866152380706,1386.0,83305742,3033099008,nan,7,2026-04-29T21:59:41.740971
"2,0,1,2,2,2,0,0,1,0,0",4.039003098011017,4.831074475892431,1386.0,82663098,3012913920,nan,7,2026-04-29T21:49:59.335971
"2,0,1,2,2,2,0,0,0,0,0",4.039113771915436,4.868217830159368,1386.0,82031374,2992728832,nan,2,2026-04-29T20:45:41.094961
"0,0,1,2,2,2,0,0,0,0,1",4.039439487457275,4.892568312271011,1386.0,81622433,2959125248,nan,4,2026-04-29T21:11:04.472576
"0,0,1,2,2,2,0,0,0,0,0",4.0395764946937565,4.970037939902873,1386.0,80348065,2918755072,nan,6,2026-04-29T21:36:36.362026
"2,0,0,2,2,2,0,0,0,0,1",4.046467077732086,4.991617078278739,1386.0,80000134,2855561984,nan,11,2026-04-29T22:41:03.721247
"2,0,0,2,2,2,0,0,1,0,0",4.046594595909118,5.031963282367764,1386.0,79357618,2835376896,nan,14,2026-04-29T23:21:58.062266
"0,0,0,2,2,2,0,0,0,0,1",4.058400177955628,5.098721249633354,1386.0,78316825,2781588224,nan,6,2026-04-29T21:47:39.395835
"0,0,0,2,2,2,0,0,0,0,0",4.058631515502929,5.1829131016592775,1386.0,77042457,2741218048,nan,8,2026-04-29T22:04:05.429431
"2,0,0,2,2,1,0,0,0,0,0",4.097053349018097,5.312346589391149,1386.0,75162074,2633526016,nan,7,2026-04-29T21:52:59.359404
"0,0,0,2,2,1,0,0,0,0,1",4.10743670463562,5.341355978795404,1386.0,74753133,2599922432,nan,13,2026-04-29T23:11:27.635646
"0,0,0,2,2,1,0,0,0,0,0",4.107713961601258,5.433824085080209,1386.0,73478765,2559552256,nan,12,2026-04-29T22:56:24.924585
"0,0,1,2,1,2,0,0,0,0,1",4.1550172686576845,5.542157159698768,1386.0,72039845,2777459456,nan,8,2026-04-29T22:04:51.502871
"2,0,0,2,2,0,0,0,0,0,0",4.164317548274994,5.576265184867132,1386.0,71598382,2451860224,nan,7,2026-04-29T21:50:41.639931
"0,0,0,1,2,1,0,0,0,0,0",4.171898269653321,5.710264790545845,1386.0,69915073,2377886464,nan,14,2026-04-29T23:18:16.064402
"0,0,0,2,1,2,0,0,0,0,1",4.189544010162353,5.808174439226203,1386.0,68734237,2599922432,nan,9,2026-04-29T22:17:23.685105
"0,0,0,2,1,2,0,0,0,0,0",4.189584445953369,5.917677385005585,1386.0,67459869,2559552256,nan,9,2026-04-29T22:14:24.051957
"0,0,1,1,1,2,0,0,0,0,0",4.215633130073547,5.940358533012421,1386.0,67201785,2555423488,nan,9,2026-04-29T22:20:17.156360
"0,0,0,1,1,2,0,0,0,0,1",4.226923549175263,6.12512750409951,1386.0,65170545,2418256640,nan,6,2026-04-29T21:38:48.106635
"0,0,0,1,1,2,0,0,0,0,0",4.22699738740921,6.247033147304495,1386.0,63896177,2377886464,nan,8,2026-04-29T22:01:11.498390
"0,0,1,1,1,1,0,0,0,0,0",4.276262390613556,6.272314641380959,1386.0,63638093,2373757696,nan,15,2026-04-29T23:32:13.884495
"0,0,0,1,1,1,0,0,0,0,1",4.289758241176605,6.478669603901105,1386.0,61606853,2236590848,nan,10,2026-04-29T22:26:14.481296
"0,0,0,1,1,1,0,0,0,0,0",4.2899188041687015,6.615211019525904,1386.0,60332485,2196220672,nan,13,2026-04-29T23:10:40.956805
