epoch,total_evaluated,new_evaluated,duplicates,duplicate_rate,duplicate_rate_3gen_avg,rule_rejected,best_epe,best_fps,pareto_count,rank1_saturation,hv,hv_ref_epe,hv_ref_fps,hv_improvement_rate_3gen,mean_crowding_distance,gene_entropy_dim_0,gene_entropy_dim_1,gene_entropy_dim_2,gene_entropy_dim_3,gene_entropy_dim_4,gene_entropy_dim_5,gene_entropy_dim_6,gene_entropy_dim_7,gene_entropy_dim_8,gene_entropy_dim_9,gene_entropy_dim_10,stagnation_best_epe,stagnation_best_fps,stagnation_hv,largest_gap_fps_low,largest_gap_fps_high,largest_gap_epe_low,largest_gap_epe_high,findings_count,assumptions_count,coverage_pct
0,50,50,0,0.0,0.0,0,4.042657,9.141451,16,0.32,7.15533,5.5,3.0,,0.281072,1.092019,1.095782,1.092019,1.095782,1.090908,1.092019,0.693147,0.692347,0.693147,0.692347,0.693147,0,0,0,7.4991583600833,8.453009813542876,4.451394152641297,4.58314563035965,0,0,0.21
1,100,50,6,0.12,0.06,0,4.039825,9.141451,20,0.4,7.242521,5.5,3.0,,0.217142,1.073653,1.019856,0.997835,1.05493,1.093493,1.090908,0.693147,0.664064,0.673012,0.592953,0.68593,0,1,0,7.4991583600833,8.453009813542876,4.451394152641297,4.58314563035965,0,0,0.43
2,150,50,4,0.08,0.066667,0,4.028193,9.141451,24,0.48,7.354695,5.5,3.0,,0.17709,0.970937,0.967113,0.893988,1.038812,1.079208,1.065253,0.692347,0.573057,0.692347,0.404963,0.592953,0,2,0,7.764582969004541,8.395416916718913,4.514379858970642,4.580303204059601,0,0,0.64
3,200,50,10,0.2,0.133333,0,4.028193,9.141451,29,0.58,7.448084,5.5,3.0,0.097585,0.14559,0.671114,0.825617,0.71351,1.05492,1.0889,1.085716,0.680292,0.325083,0.673012,0.278769,0.43967,1,3,0,8.499365065556985,9.074132051896504,4.648231709003449,4.6783612132072445,0,0,0.86
4,250,50,24,0.48,0.253333,0,4.028193,9.141451,33,0.66,7.47713,5.5,3.0,0.078203,0.126804,0.443307,0.659215,0.781294,1.05392,1.073653,1.060903,0.673012,0.226968,0.673012,0.167944,0.366925,2,4,0,8.499365065556985,9.074132051896504,4.648231709003449,4.6783612132072445,0,0,1.07
5,300,50,18,0.36,0.346667,0,4.028193,9.141451,37,0.74,7.482042,5.5,3.0,0.042449,0.112312,0.420992,0.565419,0.760985,1.067306,1.076819,1.079208,0.673012,0.226968,0.626869,0.167944,0.366925,3,5,0,7.901073659122122,8.395416916718913,4.556702363491058,4.580303204059601,0,0,1.29
6,350,50,12,0.24,0.36,0,4.028193,9.141451,35,0.7,7.496587,5.5,3.0,0.016168,0.119119,0.265158,0.46238,0.655818,1.067306,1.076819,1.087566,0.653418,0.226968,0.664064,0.167944,0.366925,4,6,0,7.901073659122122,8.395416916718913,4.556702363491058,4.580303204059601,0,0,1.5
7,400,50,26,0.52,0.373333,0,4.028193,9.141451,40,0.8,7.499561,5.5,3.0,0.007477,0.104406,0.323756,0.226968,0.73354,1.037577,1.087566,1.076819,0.653418,0.226968,0.610864,0.226968,0.471393,5,7,0,7.901073659122122,8.395416916718913,4.556702363491058,4.580303204059601,0,0,1.71
8,450,50,29,0.58,0.446667,0,4.026539,9.141451,40,0.8,7.505464,5.5,3.0,0.007807,0.104153,0.323756,0.325083,0.655818,1.03953,1.073653,1.076819,0.610864,0.0,0.610864,0.0,0.404963,0,8,0,7.901073659122122,8.395416916718913,4.556702363491058,4.580303204059601,0,0,1.93
9,500,50,32,0.64,0.58,0,4.026539,9.141451,44,0.88,7.508381,5.5,3.0,0.003931,0.094234,0.278769,0.375123,0.738436,1.037577,1.090908,1.05492,0.610864,0.0,0.573057,0.098039,0.404963,1,9,0,7.901073659122122,8.395416916718913,4.556702363491058,4.580303204059601,0,0,2.14
10,550,50,51,1.02,0.746667,0,4.026539,9.141451,47,0.94,7.509212,5.5,3.0,0.003217,0.087951,0.325083,0.323756,0.738436,1.065253,1.092019,1.033661,0.610864,0.0,0.592953,0.0,0.325083,2,10,0,8.499365065556985,8.819174490431957,4.648231709003449,4.67781480550766,0,0,2.36
11,600,50,51,1.02,0.893333,0,4.026539,9.141451,45,0.9,7.513269,5.5,3.0,0.002602,0.09225,0.278769,0.488721,0.806817,1.05392,1.093493,1.061135,0.573057,0.0,0.610864,0.0,0.325083,3,11,0,8.499365065556985,8.819174490431957,4.648231709003449,4.67781480550766,0,0,2.57
12,650,50,60,1.2,1.08,0,4.026539,9.141451,44,0.88,7.522607,5.5,3.0,0.004742,0.094446,0.325083,0.488721,0.826538,1.061135,1.09821,1.03953,0.55108,0.0,0.626869,0.0,0.325083,4,12,0,8.499365065556985,8.945903517580703,4.648231709003449,4.677228689193726,0,0,2.79
13,700,50,55,1.1,1.106667,0,4.026539,9.141451,46,0.92,7.522769,5.5,3.0,0.004519,0.090153,0.420992,0.375123,0.826538,1.079208,1.092019,1.037577,0.526908,0.0,0.626869,0.0,0.366925,5,13,0,8.499365065556985,8.945903517580703,4.648231709003449,4.677228689193726,0,0,3.0
14,750,50,66,1.32,1.206667,0,4.026025,9.141451,51,1.0,7.524771,5.5,3.0,0.003834,0.081016,0.366925,0.334221,0.826538,1.072662,1.093493,1.000837,0.500402,0.0,0.573057,0.0,0.366925,0,14,0,8.499365065556985,8.945903517580703,4.648231709003449,4.677228689193726,0,0,3.22
15,800,50,64,1.28,1.233333,0,4.026025,9.141451,53,1.0,7.526553,5.5,3.0,0.001315,0.077839,0.366925,0.443307,0.760985,1.083551,1.095782,1.020961,0.573057,0.0,0.55108,0.0,0.325083,1,15,0,8.499365065556985,8.79056910825676,4.648231709003449,4.672485530376434,0,0,3.43
