arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"0,1,2,2,2,2,0,0,1,0,0",4.026024520397186,4.665999856403855,1386.0,85592317,3195382528,nan,14,2026-05-21T19:08:51.172053
"0,1,2,2,2,2,1,0,0,0,0",4.028671824932099,4.682782298048019,1386.0,85285085,3185289984,nan,11,2026-05-21T18:44:53.516490
"0,0,2,2,2,2,0,0,0,0,1",4.031297326087952,4.702438010728119,1386.0,84928041,3136662272,nan,12,2026-05-21T18:50:19.365078
"0,0,2,2,2,2,0,0,1,0,0",4.03148341178894,4.738228118036322,1386.0,84285525,3116477184,nan,14,2026-05-21T19:05:53.649646
"0,0,2,2,2,2,1,0,0,0,0",4.034357941150665,4.755535118907578,1386.0,83978293,3106384640,nan,14,2026-05-21T19:10:38.948120
"2,0,1,2,2,2,0,0,1,0,0",4.039003098011017,4.831067007334188,1386.0,82663226,3012913920,nan,13,2026-05-21T19:02:53.420814
"0,0,1,2,2,2,0,0,0,0,1",4.039439487457275,4.892568312271011,1386.0,81622433,2959125248,nan,12,2026-05-21T18:53:54.243772
"0,0,1,2,2,2,0,0,1,0,0",4.039480125904083,4.93132300554028,1386.0,80979917,2938940160,nan,12,2026-05-21T18:52:05.166807
"0,0,1,2,2,2,0,0,0,0,0",4.039576578140259,4.970037939902873,1386.0,80348065,2918755072,nan,8,2026-05-21T18:21:25.112203
"2,0,0,2,2,2,0,0,0,0,1",4.046467220783233,4.991609105094336,1386.0,80000262,2855561984,nan,7,2026-05-21T18:17:03.540752
"2,0,0,2,2,2,0,0,0,0,0",4.046669459342956,5.07228101897662,1386.0,78725766,2815191808,nan,9,2026-05-21T18:30:33.861570
"0,0,0,2,2,2,0,0,0,0,1",4.0583999991416935,5.098712930620246,1386.0,78316953,2781588224,nan,9,2026-05-21T18:29:18.181434
"0,0,0,2,2,2,0,0,0,0,0",4.058631563186646,5.1829131016592775,1386.0,77042457,2741218048,nan,4,2026-05-21T17:48:06.791503
"0,0,1,2,2,1,0,0,0,0,0",4.085697042942047,5.200303266085568,1386.0,76784373,2737089280,nan,9,2026-05-21T18:28:05.868223
"2,0,0,2,2,1,0,0,1,0,0",4.096894884109497,5.268138781319348,1386.0,75793926,2653711104,nan,14,2026-05-21T19:12:25.208317
"2,0,0,2,2,1,0,0,0,0,0",4.097053372859955,5.312346589391149,1386.0,75162074,2633526016,nan,4,2026-05-21T17:47:30.832074
"0,0,0,2,2,1,0,0,0,0,0",4.107713901996613,5.433824085080209,1386.0,73478765,2559552256,nan,6,2026-05-21T18:07:51.348528
"0,0,1,2,2,0,0,0,0,0,0",4.152339684963226,5.452941868272492,1386.0,73220681,2555423488,nan,7,2026-05-21T18:15:12.353387
"0,0,1,2,1,2,0,0,1,0,0",4.154992640018463,5.591938337360437,1386.0,71397329,2757274368,nan,6,2026-05-21T18:07:17.421991
"0,0,1,2,1,2,0,0,0,0,0",4.155005264282226,5.641773212141463,1386.0,70765477,2737089280,nan,7,2026-05-21T18:16:26.264590
"0,0,0,1,2,1,0,0,1,0,0",4.171676826477051,5.659218046318238,1386.0,70546925,2398071552,nan,6,2026-05-21T18:08:28.045491
"0,0,0,1,2,1,0,0,0,0,0",4.17189781665802,5.710264790545845,1386.0,69915073,2377886464,nan,10,2026-05-21T18:38:17.937551
"2,0,0,2,1,2,0,0,0,0,0",4.172585558891297,5.773889076315744,1386.0,69143178,2633526016,nan,6,2026-05-21T18:03:39.547284
"0,0,0,2,1,2,0,0,0,0,0",4.18958455324173,5.917688591076607,1386.0,67459741,2559552256,nan,6,2026-05-21T18:09:41.882669
"0,0,1,1,1,2,0,0,0,0,0",4.215633130073547,5.940358533012421,1386.0,67201785,2555423488,nan,9,2026-05-21T18:26:51.417522
"0,0,0,1,1,2,0,0,0,0,1",4.226923727989197,6.12512750409951,1386.0,65170545,2418256640,nan,14,2026-05-21T19:10:36.807318
"0,0,0,1,1,2,0,0,0,0,0",4.226997327804566,6.247033147304495,1386.0,63896177,2377886464,nan,11,2026-05-21T18:47:11.042062
"0,0,1,1,1,1,0,0,0,0,0",4.276262307167054,6.272314641380959,1386.0,63638093,2373757696,nan,3,2026-05-21T17:46:52.591828
"0,0,0,1,1,1,0,0,1,0,0",4.289761006832123,6.5467996747222585,1386.0,60964337,2216405760,nan,8,2026-05-21T18:22:32.377002
"0,0,0,1,1,1,0,0,0,0,0",4.289918673038483,6.615211019525904,1386.0,60332485,2196220672,nan,5,2026-05-21T17:59:59.261933
"0,0,1,0,1,1,0,0,0,0,0",4.339531242847443,6.643567094604844,1386.0,60074401,2192091904,nan,9,2026-05-21T18:32:57.695797
"0,1,0,2,0,2,0,0,0,0,0",4.3692673444747925,6.743282607383278,1386.0,59184073,2456791808,nan,14,2026-05-21T19:07:37.775480
"0,0,0,0,1,1,1,0,1,0,0",4.370751535892486,6.913300625240637,1386.0,57725265,2044832512,nan,10,2026-05-21T18:41:18.868592
"0,0,0,0,1,1,0,0,0,0,0",4.3717504143714905,7.029504994032741,1386.0,56768793,2014554880,nan,4,2026-05-21T17:53:27.611073
"0,0,0,1,0,2,1,0,0,0,0",4.409012901782989,7.302944600209152,1386.0,54638209,2206313216,nan,15,2026-05-21T19:17:41.742308
"0,0,0,1,0,2,0,0,0,0,0",4.410001146793365,7.346485047597969,1386.0,54313589,2196220672,nan,12,2026-05-21T18:54:28.886582
"0,0,0,0,1,0,1,0,1,0,0",4.450703597068786,7.367053553009292,1386.0,54161573,1863166720,nan,1,2026-05-21T17:30:11.021508
"0,0,0,0,1,0,0,0,0,0,0",4.451394152641297,7.4991583600833,1386.0,53205101,1832889088,nan,0,2026-05-21T17:17:00.242119
"0,0,0,1,0,1,1,0,1,0,0",4.481566369533539,7.71596201254434,1386.0,51706369,2044832512,nan,5,2026-05-21T18:01:45.952765
"0,0,0,1,0,1,1,0,0,0,0",4.483234560489654,7.811167372128993,1386.0,51074517,2024647424,nan,14,2026-05-21T19:12:22.678306
"0,0,0,1,0,1,0,0,0,0,0",4.484530556201935,7.860999449435251,1386.0,50749897,2014554880,nan,11,2026-05-21T18:42:30.295743
"0,0,1,0,0,1,0,0,0,0,0",4.556702363491058,7.901073659122122,1386.0,50491813,2010426112,nan,5,2026-05-21T17:59:23.268127
"0,2,0,0,0,1,1,0,1,0,0",4.575066542625427,8.048475161047474,1386.0,49564637,1951935232,nan,15,2026-05-21T19:15:21.183644
"0,2,0,0,0,1,1,0,0,0,0",4.57666974067688,8.152118033375709,1386.0,48932785,1931750144,nan,14,2026-05-21T19:12:19.846250
"0,2,0,0,0,1,0,0,0,0,0",4.578731906414032,8.206410425194024,1386.0,48608165,1921657600,nan,10,2026-05-21T18:34:42.153473
"0,0,0,0,0,1,1,0,1,0,0",4.578732967376709,8.285537004813587,1386.0,48142677,1863166720,nan,10,2026-05-21T18:35:18.973023
"0,0,0,0,0,1,1,0,0,0,0",4.580303204059601,8.395416916718913,1386.0,47510825,1842981632,nan,2,2026-05-21T17:33:12.881054
"0,0,0,0,0,1,0,0,0,0,0",4.58314563035965,8.453009813542876,1386.0,47186205,1832889088,nan,0,2026-05-21T17:16:59.982132
"0,0,1,0,0,0,0,0,0,0,0",4.648231709003449,8.499365065556985,1386.0,46928121,1828760320,nan,0,2026-05-21T17:17:00.634461
"0,2,0,0,0,0,1,0,0,0,0",4.672485530376434,8.79056910825676,1386.0,45369093,1750084352,nan,15,2026-05-21T19:15:21.123927
"0,0,0,0,0,0,1,0,1,0,0",4.677228689193726,8.945903517580703,1386.0,44578985,1681500928,nan,12,2026-05-21T18:53:14.389548
"0,0,0,0,0,0,1,0,0,0,0",4.6783612132072445,9.074132051896504,1386.0,43947133,1661315840,nan,0,2026-05-21T17:16:25.047587
"0,0,0,0,0,0,0,0,0,0,0",4.683211803436279,9.141450717605023,1386.0,43622513,1651223296,nan,0,2026-05-21T17:16:25.104676
