epoch,total_evaluated,new_evaluated,duplicates,duplicate_rate,duplicate_rate_3gen_avg,rule_rejected,best_epe,best_fps,pareto_count,rank1_saturation,hv,hv_ref_epe,hv_ref_fps,hv_improvement_rate_3gen,mean_crowding_distance,gene_entropy_dim_0,gene_entropy_dim_1,gene_entropy_dim_2,gene_entropy_dim_3,gene_entropy_dim_4,gene_entropy_dim_5,gene_entropy_dim_6,gene_entropy_dim_7,gene_entropy_dim_8,gene_entropy_dim_9,gene_entropy_dim_10,stagnation_best_epe,stagnation_best_fps,stagnation_hv,largest_gap_fps_low,largest_gap_fps_high,largest_gap_epe_low,largest_gap_epe_high,findings_count,assumptions_count,coverage_pct
0,50,50,0,0.0,0.0,0,4.031608,9.141451,14,0.28,6.911585,5.5,3.0,,0.312944,1.093493,1.09821,1.093493,1.093493,1.095782,1.093493,0.692347,0.689944,0.693147,0.689944,0.692347,0,0,0,7.155190007233361,8.853731508068705,4.6716350555419925,4.676994335651398,0,0,0.21
1,100,50,3,0.06,0.03,0,4.026099,9.141451,14,0.28,7.129055,5.5,3.0,,0.325071,1.074092,1.068358,1.060903,1.065253,1.03953,1.068358,0.673012,0.673012,0.689944,0.592953,0.626869,0,1,0,7.081740583484789,8.176204901254644,4.581497466564178,4.600351798534393,0,0,0.43
2,150,50,3,0.06,0.04,0,4.026099,9.141451,17,0.34,7.288588,5.5,3.0,,0.260057,1.025058,0.871384,1.061135,0.982093,1.03953,1.045886,0.68593,0.366925,0.689944,0.278769,0.55108,1,2,0,7.211873354239231,8.453009813542876,4.490338683128357,4.58314563035965,0,0,0.64
3,200,50,4,0.08,0.066667,0,4.026099,9.141451,27,0.54,7.392742,5.5,3.0,0.160386,0.156034,0.926933,0.671114,0.912982,0.997835,1.076819,1.021914,0.689944,0.226968,0.68593,0.226968,0.471393,2,3,0,7.901073659122122,8.395416916718913,4.5707367897033695,4.580303239822388,0,0,0.86
4,250,50,9,0.18,0.106667,0,4.026099,9.141451,30,0.6,7.459142,5.5,3.0,0.110029,0.139316,0.703843,0.760985,0.826538,0.990915,1.085716,1.076819,0.68593,0.167944,0.626869,0.167944,0.366925,3,4,0,7.901073659122122,8.395416916718913,4.556702327728272,4.580303239822388,0,0,1.07
5,300,50,11,0.22,0.16,0,4.024062,9.141451,37,0.74,7.47373,5.5,3.0,0.061714,0.110599,0.500571,0.728667,0.826538,1.023389,1.093493,1.05392,0.68593,0.098039,0.626869,0.226968,0.325083,0,5,0,7.901073659122122,8.285537004813587,4.556702327728272,4.57873283624649,0,0,1.29
6,350,50,15,0.3,0.233333,0,4.024062,9.141451,40,0.8,7.497125,5.5,3.0,0.034794,0.103156,0.323756,0.728667,0.847007,1.029653,1.093493,1.081972,0.664064,0.098039,0.55108,0.226968,0.226968,1,6,0,7.901073659122122,8.285537004813587,4.556702327728272,4.57873283624649,0,0,1.5
7,400,50,27,0.54,0.353333,0,4.024062,9.141451,39,0.78,7.507326,5.5,3.0,0.016061,0.105944,0.0,0.600483,0.826538,1.068358,1.079208,1.077872,0.610864,0.098039,0.55108,0.167944,0.404963,2,7,0,7.901073659122122,8.285537004813587,4.556702327728272,4.57873283624649,0,0,1.71
8,450,50,56,1.12,0.653333,0,4.024062,9.141451,43,0.86,7.507575,5.5,3.0,0.011282,0.095608,0.098039,0.566741,0.882563,1.05493,1.087566,1.05392,0.626869,0.098039,0.573057,0.167944,0.404963,3,8,0,7.901073659122122,8.285537004813587,4.556702327728272,4.57873283624649,0,0,1.93
9,500,50,45,0.9,0.853333,0,4.024062,9.141451,44,0.88,7.511672,5.5,3.0,0.004849,0.093332,0.265158,0.655818,0.866121,1.033661,1.093493,1.018098,0.610864,0.0,0.500402,0.167944,0.325083,4,9,0,7.901073659122122,8.285537004813587,4.556702327728272,4.57873283624649,0,0,2.14
10,550,50,50,1.0,1.006667,0,4.023665,9.141451,46,0.92,7.515769,5.5,3.0,0.002814,0.090111,0.167944,0.635005,0.784168,1.033661,1.087566,1.018098,0.55108,0.0,0.526908,0.226968,0.404963,0,10,0,6.272314641380959,6.615211019525904,4.276262307167054,4.28991869688034,0,0,2.36
11,600,50,31,0.62,0.84,0,4.023665,9.141451,46,0.92,7.519411,5.5,3.0,0.003945,0.090111,0.167944,0.635005,0.784168,1.05493,1.093493,1.006582,0.526908,0.0,0.526908,0.226968,0.404963,1,11,0,6.743282607383278,7.029504994032741,4.369267356395722,4.3717504143714905,0,0,2.57
12,650,50,37,0.74,0.786667,0,4.023665,9.141451,48,0.96,7.519758,5.5,3.0,0.002695,0.086193,0.167944,0.635005,0.84617,1.029653,1.092019,1.018098,0.526908,0.0,0.55108,0.226968,0.404963,2,12,0,6.743282607383278,7.029504994032741,4.369267356395722,4.3717504143714905,0,0,2.79
13,700,50,53,1.06,0.806667,0,4.023665,9.141451,50,1.0,7.519897,5.5,3.0,0.001376,0.082602,0.167944,0.635005,0.84617,1.029653,1.092019,1.018098,0.55108,0.0,0.526908,0.167944,0.43967,3,13,0,6.743282607383278,7.029504994032741,4.369267356395722,4.3717504143714905,0,0,3.0
14,750,50,74,1.48,1.093333,0,4.023665,9.141451,53,1.0,7.52306,5.5,3.0,0.001216,0.077743,0.167944,0.635005,0.73354,1.060903,1.081972,1.013313,0.55108,0.0,0.55108,0.167944,0.404963,4,14,0,6.743282607383278,7.029504994032741,4.369267356395722,4.3717504143714905,0,0,3.22
15,800,50,107,2.14,1.56,0,4.023665,9.141451,55,1.0,7.525225,5.5,3.0,0.001822,0.074809,0.167944,0.671114,0.801819,1.068358,1.073653,1.033661,0.500402,0.0,0.500402,0.167944,0.43967,5,15,0,5.940358533012421,6.247033147304495,4.215633130073547,4.22699738740921,0,0,3.43
