arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"0,0,0,0,0,0,0,0,0,0,0",4.683212077617645,9.141450717605023,1386.0,43622513,1651223296,,0,2026-05-22T16:14:57.565933
"0,2,0,0,0,0,0,0,0,0,0",4.676994335651398,8.853731508068705,1386.0,45044473,1739991808,,0,2026-05-22T16:14:57.705221
"2,1,2,2,2,2,1,1,1,1,1",4.042656981945038,4.0434884460653535,1386.0,98790264,3965741824,,0,2026-05-22T16:15:00.013915
"2,1,2,2,2,2,0,0,0,0,0",4.045523774623871,4.609463652950162,1386.0,86643774,3249171200,,0,2026-05-22T16:15:00.076223
"2,1,0,0,0,0,0,0,0,0,0",4.701811921596527,8.556729576883413,1386.0,46612614,1804102400,,0,2026-05-22T16:15:31.189711
"0,0,0,0,0,0,1,1,1,1,1",4.6716350555419925,7.155190007233361,1386.0,55769259,2367793920,,0,2026-05-22T16:15:31.457845
"0,2,0,0,0,0,1,1,1,1,1",4.665517330169678,6.97772078297912,1386.0,57191091,2456562432,,0,2026-05-22T16:15:33.845555
"0,0,2,2,2,2,0,0,0,0,0",4.031607532501221,4.773959521191433,1386.0,83653673,3096292096,,0,2026-05-22T16:15:36.918659
"1,1,1,1,1,1,0,0,0,0,0",4.28422474861145,6.085995635641241,1386.0,65590443,2482252544,,0,2026-05-22T16:16:07.356118
"1,0,1,1,1,1,0,1,0,1,0",4.297923529148102,5.381143212305996,1386.0,74199429,3049270016,,0,2026-05-22T16:16:07.785387
"1,1,1,1,1,1,1,1,1,1,1",4.281114375591278,5.136673593171368,1386.0,77737189,3198823168,,0,2026-05-22T16:16:09.424690
"0,2,1,1,1,1,0,0,0,0,0",4.302328550815583,6.135508440611292,1386.0,65060053,2462526208,,0,2026-05-22T16:16:12.075051
"0,2,2,2,2,2,0,0,0,0,0",4.046276271343231,4.69429291690699,1386.0,85075633,3185060608,,0,2026-05-22T16:16:45.692401
"1,0,0,0,0,0,1,1,1,1,1",4.692832708358765,7.073523100985841,1386.0,56414689,2397383424,,0,2026-05-22T16:16:45.750927
"1,1,2,2,2,2,1,1,1,1,1",4.052190184593201,4.086350344533988,1386.0,97752641,3921357568,,0,2026-05-22T16:16:45.998179
"2,0,2,2,2,2,1,1,1,1,1",4.051971662044525,4.097612589537701,1386.0,97483600,3886836480,,0,2026-05-22T16:16:46.284015
"0,2,1,1,0,0,0,1,0,1,0",4.583150970935821,6.455385242947375,1386.0,61829551,2745117440,,0,2026-05-22T16:17:20.829541
"0,0,2,2,0,0,0,1,0,1,0",4.513663923740387,5.933740090227562,1386.0,67276891,3015551744,,0,2026-05-22T16:17:21.555733
"2,0,1,1,1,1,0,0,0,0,0",4.282969284057617,6.111010788683997,1386.0,65321402,2447731456,,0,2026-05-22T16:17:22.294369
"1,0,2,1,2,1,1,0,1,0,1",4.175573754310608,5.029111957524624,1386.0,79402687,2833197824,,0,2026-05-22T16:17:23.307382
"1,2,0,2,0,1,0,0,1,1,0",4.468730735778808,6.438240366456916,1386.0,61994559,2657725184,,0,2026-05-22T16:17:57.064761
"2,1,1,2,1,2,0,1,0,1,0",4.164067220687866,4.772952214371803,1386.0,83671356,3535891200,,0,2026-05-22T16:17:57.144380
"0,2,2,1,1,2,1,1,1,1,1",4.238468527793884,4.7500190267949645,1386.0,84075971,3538299648,,0,2026-05-22T16:17:57.674242
"2,2,1,0,2,0,1,1,0,0,1",4.298461365699768,5.272457538592741,1386.0,75731732,2728258304,,0,2026-05-22T16:17:58.619471
"1,2,2,0,0,1,1,0,1,1,0",4.587388157844544,6.458151364827768,1386.0,61803011,2659560192,,0,2026-05-22T16:18:32.258562
"0,1,0,2,1,0,1,0,0,1,1",4.32633056640625,5.851881591330836,1386.0,68219865,2648550144,,0,2026-05-22T16:18:32.812499
"0,1,2,1,0,2,0,1,0,0,1",4.405284631252289,5.833083883931489,1386.0,68440143,2993531648,,0,2026-05-22T16:18:33.633701
"2,0,0,1,2,2,0,1,1,0,0",4.124033296108246,4.946679616744125,1386.0,80728104,2976672512,,0,2026-05-22T16:18:34.454047
"0,1,1,0,2,1,1,1,0,0,1",4.224737656116486,5.152569847431763,1386.0,77496947,2826087168,,0,2026-05-22T16:19:08.874420
"1,0,2,2,1,0,0,1,1,1,0",4.310156178474426,5.110442605596469,1386.0,78136889,3246992128,,0,2026-05-22T16:19:09.631895
"2,2,0,0,1,2,1,0,1,0,0",4.296090698242187,6.198816757459704,1386.0,64394226,2389240576,,0,2026-05-22T16:19:09.711992
"2,1,2,0,0,1,0,0,1,1,1",4.585761260986328,6.2686405863636265,1386.0,63675470,2724358912,,0,2026-05-22T16:19:09.888918
"0,0,1,2,0,2,0,0,1,0,1",4.331563866138458,6.326765913061855,1386.0,63089237,2615978752,,0,2026-05-22T16:19:45.021639
"2,0,2,1,1,0,1,0,0,1,0",4.360022258758545,5.673456602794325,1386.0,70369538,2776656640,,0,2026-05-22T16:19:45.110376
"1,2,0,1,2,0,1,1,1,0,0",4.278814804553986,5.37318322432555,1386.0,74309549,2667817728,,0,2026-05-22T16:19:45.344131
"1,1,0,2,2,1,0,1,1,0,1",4.1241091132164005,4.85403132944722,1386.0,82271513,3051563776,,0,2026-05-22T16:19:45.888365
"2,1,0,2,0,0,0,1,1,1,1",4.556930208206177,6.088630921714911,1386.0,65561996,2873912064,,0,2026-05-22T16:20:19.579268
"0,2,1,0,1,2,1,0,0,1,0",4.292786026000977,5.673719350408496,1386.0,70366273,2795580160,,0,2026-05-22T16:20:21.058720
"0,2,2,2,1,0,0,0,1,1,1",4.322200548648834,5.3059054103773615,1386.0,75253481,3023579904,,0,2026-05-22T16:20:21.380417
"1,0,1,0,2,2,1,0,0,0,0",4.193648958206177,5.381772949484298,1386.0,74190731,2595105536,,0,2026-05-22T16:20:21.884817
"2,2,2,1,0,1,1,1,0,1,0",4.500289821624756,5.646458040393914,1386.0,70706652,3188386560,,0,2026-05-22T16:20:55.319391
"1,1,2,0,1,2,0,0,0,1,1",4.273672020435333,5.313065123341678,1386.0,75151891,3023121152,,0,2026-05-22T16:20:56.685873
"2,0,1,0,2,1,0,1,0,0,1",4.232850360870361,5.149127618064282,1386.0,77548844,2811063040,,0,2026-05-22T16:20:57.073778
"0,0,0,2,2,1,1,1,1,0,0",4.103512215614319,5.031216623773659,1386.0,79369415,2912791296,,0,2026-05-22T16:20:57.635703
"1,2,1,2,0,2,1,0,1,1,0",4.392268514633178,5.7701159549519545,1386.0,69188479,3027020544,,0,2026-05-22T16:21:31.933449
"0,1,2,2,2,0,0,1,1,0,1",4.141904830932617,4.716553027020648,1386.0,84673479,3195382528,,0,2026-05-22T16:21:32.774942
"2,1,1,1,0,2,1,0,0,1,1",4.436958003044128,5.941408444143572,1386.0,67189886,2900060928,,0,2026-05-22T16:21:32.928503
"1,0,0,2,1,2,0,1,1,1,0",4.191568446159363,5.076961984025973,1386.0,78653057,3255249664,,0,2026-05-22T16:21:34.717445
"0,2,0,1,2,1,1,1,0,1,1",4.177465796470642,4.82008914827181,1386.0,82851799,3163040512,,0,2026-05-22T16:22:07.567260
"1,1,2,1,2,2,1,1,1,0,1",4.125269424915314,4.477199286195641,1386.0,89207349,3416730368,,0,2026-05-22T16:22:08.370037
"0,2,0,1,0,0,1,1,1,0,0",4.602737057209015,7.321577771455595,1386.0,54498815,2274896640,,1,2026-05-22T16:22:44.679209
"2,0,0,2,0,1,0,0,1,1,1",4.460490620136261,6.34729853261883,1386.0,62884718,2653711104,,1,2026-05-22T16:22:44.954835
"1,2,1,2,1,1,0,1,0,0,0",4.259170770645142,5.380849896900898,1386.0,74203481,2996742912,,1,2026-05-22T16:22:45.492683
"1,2,0,1,2,0,0,1,0,1,0",4.279626214504242,5.097561269341182,1386.0,78334677,2960501504,,1,2026-05-22T16:22:46.045924
"2,0,1,1,1,1,0,1,1,1,1",4.281682538986206,5.176142981011656,1386.0,77143400,3154209536,,1,2026-05-22T16:23:21.121844
"1,0,1,0,2,1,0,1,0,0,0",4.237581968307495,5.307084986318932,1386.0,75236725,2726308608,,1,2026-05-22T16:23:21.712109
"2,2,0,2,1,1,1,1,1,0,0",4.242283368110657,5.477477611700352,1386.0,72892096,2893867776,,1,2026-05-22T16:23:21.872310
"0,0,0,1,2,2,1,0,1,0,0",4.124951183795929,5.364126638715544,1386.0,74435237,2589829888,,1,2026-05-22T16:23:22.301728
"1,0,0,0,0,1,1,0,1,0,0",4.600351798534393,8.176204901254644,1386.0,48788235,1892756224,,1,2026-05-22T16:23:56.297903
"0,0,1,0,2,2,1,0,0,0,1",4.175081729888916,5.33661449739091,1386.0,74819669,2605886208,,1,2026-05-22T16:23:57.767549
"0,0,0,2,2,0,0,1,0,0,1",4.170859146118164,5.245353714854573,1386.0,76123747,2741218048,,1,2026-05-22T16:23:58.298620
"1,0,1,2,0,2,1,0,1,0,0",4.382517957687378,6.357366281104587,1386.0,62784919,2615290624,,1,2026-05-22T16:23:58.355492
"1,1,0,2,0,2,1,1,0,1,1",4.418097341060639,5.596069309724711,1386.0,71344525,3182766848,,1,2026-05-22T16:24:32.752100
"2,0,0,0,0,2,0,1,1,0,0",4.533461940288544,6.8807196627263885,1386.0,57999236,2431675136,,1,2026-05-22T16:24:32.949409
"1,1,2,1,1,2,0,1,1,0,1",4.230380392074585,5.035604303170622,1386.0,79300141,3224972032,,1,2026-05-22T16:24:33.946187
"2,2,1,1,1,1,0,0,1,0,0",4.296138560771942,5.925097992233145,1386.0,67375214,2556685056,,1,2026-05-22T16:24:34.179306
"2,1,0,0,2,0,1,0,0,0,0",4.316514205932617,6.038954760800928,1386.0,66102410,2177526528,,1,2026-05-22T16:25:08.146489
"2,1,2,2,0,1,0,0,0,0,0",4.457293951511383,6.245206413752044,1386.0,63914906,2704173824,,1,2026-05-22T16:25:09.741438
"0,1,1,1,1,0,0,0,0,1,0",4.367838263511658,6.015307966248288,1386.0,66362793,2593958656,,1,2026-05-22T16:25:09.819481
"1,0,0,0,2,0,1,1,1,1,1",4.327655792236328,5.28302408117282,1386.0,75579993,2760715008,,1,2026-05-22T16:25:10.323942
