arch_code,epe,fps,sram_kb,cycles_npu,macs,micro_insight,epoch,timestamp
"0,1,2,2,2,2,0,0,0,1,1",4.023664569854736,4.378731794697336,1386.0,91216433,3538529024,nan,10,2026-05-22T17:58:35.884840
"0,1,2,2,2,2,0,0,0,1,0",4.0240624904632565,4.440680572931723,1386.0,89942065,3498158848,nan,5,2026-05-22T17:05:53.833552
"0,1,2,2,2,2,0,0,0,0,1",4.025915849208832,4.631281721457605,1386.0,86234961,3215567616,nan,13,2026-05-22T18:29:34.405017
"0,1,2,2,2,2,0,0,1,0,0",4.026024508476257,4.665999856403855,1386.0,85592317,3195382528,nan,15,2026-05-22T18:45:35.675847
"0,1,2,2,2,2,0,0,0,0,0",4.026098620891571,4.700646220163955,1386.0,84960465,3175197440,nan,1,2026-05-22T16:28:13.143508
"0,0,2,2,2,2,0,0,0,0,1",4.031297290325165,4.702445086874205,1386.0,84927913,3136662272,nan,8,2026-05-22T17:33:50.875348
"0,0,2,2,2,2,0,0,1,0,0",4.031483542919159,4.738228118036322,1386.0,84285525,3116477184,nan,12,2026-05-22T18:19:29.525733
"0,0,2,2,2,2,0,0,0,0,0",4.031607532501221,4.773959521191433,1386.0,83653673,3096292096,nan,0,2026-05-22T16:15:36.918659
"0,0,1,2,2,2,0,0,0,0,1",4.039439487457275,4.892568312271011,1386.0,81622433,2959125248,nan,10,2026-05-22T17:57:56.113847
"0,0,1,2,2,2,0,0,0,0,0",4.039576578140259,4.970037939902873,1386.0,80348065,2918755072,nan,15,2026-05-22T18:47:23.736922
"0,0,0,2,2,2,0,0,0,0,1",4.058400118350983,5.098721249633354,1386.0,78316825,2781588224,nan,7,2026-05-22T17:26:02.107336
"0,0,0,2,2,2,0,0,0,0,0",4.058631563186646,5.1829131016592775,1386.0,77042457,2741218048,nan,10,2026-05-22T17:53:49.823782
"0,0,1,2,2,1,0,0,0,0,0",4.085696935653687,5.200303266085568,1386.0,76784373,2737089280,nan,2,2026-05-22T16:36:36.084578
"2,0,0,2,2,1,0,0,0,0,1",4.096779847145081,5.223924298650289,1386.0,76436570,2673896192,nan,10,2026-05-22T17:53:11.444158
"2,0,0,2,2,1,0,0,0,0,0",4.097053229808807,5.312346589391149,1386.0,75162074,2633526016,nan,10,2026-05-22T17:55:01.519631
"0,0,0,2,2,1,0,0,0,0,1",4.107436788082123,5.341355978795404,1386.0,74753133,2599922432,nan,4,2026-05-22T16:57:35.684209
