candidate_id,arch_code,source,distill_front_rank,no_distill_front_rank,front_rank_gap
T01,"0,0,0,2,2,0,0,0,1,0,0",frontier_top5_rank_gap_probe_20260430,2,13,11
T02,"0,0,2,2,2,0,0,0,0,0,0",frontier_top5_rank_gap_probe_20260430,5,15,10
T03,"2,1,2,1,2,2,0,0,1,0,1",frontier_top5_rank_gap_probe_20260430,14,4,10
T04,"2,0,1,2,2,0,0,0,0,0,0",frontier_top5_rank_gap_probe_20260430,3,12,9
T05,"1,0,0,2,2,0,1,0,0,0,0",frontier_top5_rank_gap_probe_20260430,4,12,8
T06,"0,1,0,2,0,2,0,0,0,0,1",frontier_top5_rank_gap_probe_20260430,3,10,7
T07,"1,0,1,1,0,2,1,0,1,0,1",frontier_top5_rank_gap_probe_20260430,12,5,7
T08,"1,0,1,1,0,2,0,0,1,0,1",frontier_top5_rank_gap_probe_20260430,12,5,7
T09,"0,1,0,2,0,2,0,0,1,0,0",frontier_top5_rank_gap_probe_20260430,1,8,7
T10,"0,0,1,2,1,2,0,0,0,1,1",frontier_top5_rank_gap_probe_20260430,8,1,7
